cycle number,time/s,Control/V/mA,Ecell/V,<I>/mA,Q discharge/mA.h,Q charge/mA.h,Control/V,Control/mA,Temperature,C-rate
149,2157985.572,1750,4.2,1750.679,2994.575,2991.108,4.2,1750,45,0.5
205,3033884.517,1750,4.2,1751.582,2988.575,2986.065,4.2,1750,35,0.5
253,5120183.332,875,4.2,875.749,2945.47,2952.289,4.2,875,25,0.25
514,7208584.386,1750,4.2,1750.624,2665.736,2661.626,4.2,1750,45,0.5
687,9513714.642,1750,4.2,1750.736,2520.008,2515.572,4.2,1750,45,0.5
6,77394.392,3500,4.2,3501.286,3151.112,3177.335,4.2,3500,25,1
505,7332579.129,1750,4.2,1751.584,2667.805,2666.095,4.2,1750,35,0.5
71,1096712.485,1750,4.2,1751.986,3102.149,3107.338,4.2,1750,25,0.5
334,4898045.25,1750,4.2,1750.933,2887.481,2883.484,4.2,1750,35,0.5
436,8588419.198,875,4.2,874.632,2602.181,2602.681,4.2,875,25,0.25
